lr,rl,lR,Lr,rL,Rl,lL,rR,ll,rr,l,r,L,R,Space,Enter,Backspace,cpm,y
0.222644499969,0.227656500065,0.752822499877,0.348755999934,0.962137499824,0.626568750129,0.44179299986,0.766226999927,0.150602500071,0.249666999793,0.122079923033,0.11474583329,0.123063749867,0.119014000054,0.139517599996,0.130403041801,0.0453551912568,139.658749233,0.0
0.258728888921,0.197466666603,0.752822499877,0.348755999934,0.962137499824,0.626568750129,0.44179299986,0.766226999927,0.42978299999,0.196928000078,0.125714736868,0.118936999967,0.123063749867,0.119014000054,0.144242142793,0.130403041801,0.0453551912568,139.658749233,0.0
0.30071366656,0.208106624952,0.752822499877,0.348755999934,0.962137499824,0.626568750129,0.44179299986,0.766226999927,0.223265187466,0.25275725004,0.132209238064,0.11741455559,0.123063749867,0.119014000054,0.151104000397,0.130403041801,0.0453551912568,139.658749233,0.0
0.30071366656,0.208106624952,0.752822499877,0.348755999934,0.962137499824,0.626568750129,0.44179299986,0.766226999927,0.223265187466,0.25275725004,0.13208999997,0.11741455559,0.123063749867,0.119014000054,0.169112999924,0.130403041801,0.0453551912568,139.658749233,0.0
0.30071366656,0.208106624952,0.752822499877,0.348755999934,0.962137499824,0.626568750129,0.44179299986,0.766226999927,0.223265187466,0.25275725004,0.132328249863,0.11741455559,0.123063749867,0.119014000054,0.165606249939,0.130403041801,0.0453551912568,139.658749233,0.0
0.251002500067,0.266426999937,0.752822499877,0.348755999934,0.962137499824,0.626568750129,0.44179299986,0.766226999927,0.284018999975,0.25275725004,0.137023933356,0.112406333288,0.123063749867,0.119014000054,0.123638444425,0.130403041801,0.0453551912568,139.658749233,0.0
0.30071366656,0.208106624952,0.752822499877,0.348755999934,0.962137499824,0.626568750129,0.44179299986,0.766226999927,0.223265187466,0.229152499931,0.132209238064,0.097063333417,0.123063749867,0.119014000054,0.138090999797,0.130403041801,0.0453551912568,139.658749233,0.0
0.30071366656,0.175117999781,0.752822499877,0.348755999934,0.962137499824,0.626568750129,0.44179299986,0.766226999927,0.223265187466,0.449299999978,0.133088000119,0.0970639997783,0.123063749867,0.119014000054,0.138092000037,0.130403041801,0.0453551912568,139.658749233,0.0
0.30071366656,0.114076000173,0.752822499877,0.348755999934,0.962137499824,0.626568750129,0.44179299986,0.766226999927,0.223265187466,0.25275725004,0.157105999999,0.106070000213,0.123063749867,0.119014000054,0.157103999984,0.130403041801,0.0453551912568,139.658749233,0.0
0.30071366656,0.208106624952,0.752822499877,0.348755999934,0.962137499824,0.626568750129,0.44179299986,0.766226999927,0.223265187466,0.209805999883,0.132209238064,0.111074000015,0.123063749867,0.119014000054,0.171112000011,0.130403041801,0.0453551912568,139.658749233,0.0
0.21636014282,0.174616500004,0.752822499877,0.348755999934,0.962137499824,0.626568750129,0.619424000382,0.766226999927,0.343904666654,0.279187000046,0.143559083323,0.116261814824,0.138092999812,0.119014000054,0.138424000082,0.130403041801,0.0,139.707841796,0.0
0.30071366656,0.189125999808,0.752822499877,0.348755999934,0.962137499824,0.626568750129,0.44179299986,0.766226999927,0.234491333288,0.244662500219,0.114200374985,0.112328249961,0.123063749867,0.119014000054,0.136089499807,0.130403041801,0.0453551912568,139.658749233,0.0
0.36273966652,0.135534222238,0.752822499877,0.238160999957,0.962137499824,0.626568750129,0.44179299986,0.766226999927,0.26417350024,0.26767849992,0.133422166614,0.109919846165,0.0940649998374,0.119014000054,0.145592000103,0.130403041801,0.0453551912568,139.658749233,0.0
1.27784899995,0.208106624952,0.752822499877,0.348755999934,0.962137499824,0.626568750129,0.44179299986,0.766226999927,0.21614299994,0.235155000351,0.175617000088,0.115575999953,0.123063749867,0.119014000054,0.0990630001761,0.130403041801,0.0453551912568,139.658749233,0.0
0.302197999787,0.203135000076,0.752822499877,0.348755999934,0.962137499824,0.626568750129,0.44179299986,0.766226999927,0.223265187466,0.268179000122,0.151097999886,0.117680800054,0.123063749867,0.119014000054,0.140852500102,0.130403041801,0.0453551912568,139.658749233,0.0
